Year,Month,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
2022,1,6.90,0.00,0.00,15.00,12.00,2.00,0.00,0.00,7.00,0.00,0.00,0.00,22.00,3.00,0.00,2.00,56.00,2662.00,744.00,7.07,0.00,41.00,46.20,35.80,220.00,210.00,30.00,46.00
2022,2,7.80,0.00,0.00,10.00,6.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,23.00,0.00,0.00,2.97,57.00,3303.00,641.00,5.32,0.00,42.10,47.80,36.40,200.00,210.00,25.90,38.00
2022,3,6.70,0.00,0.00,18.00,11.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,29.00,0.00,0.00,0.59,63.00,3863.00,560.00,3.32,0.00,46.90,53.10,40.80,210.00,220.00,25.10,36.00
2022,4,8.90,0.00,0.00,20.00,10.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,32.00,0.00,0.00,0.55,73.00,4401.00,538.00,2.72,0.00,47.10,54.70,39.50,240.00,240.00,30.00,46.00
2022,5,7.80,0.00,0.00,15.00,10.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,40.00,0.00,0.00,0.65,71.00,4785.00,384.00,3.82,0.00,52.60,60.00,45.20,210.00,210.00,29.10,41.00
2022,6,7.60,30.00,30.00,15.00,7.00,0.00,0.00,0.00,0.00,0.00,11.00,2.00,48.00,0.00,0.00,1.10,91.00,4930.00,146.00,2.68,0.00,61.10,69.10,53.20,210.00,200.00,23.90,33.00
2022,7,6.70,171.00,141.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,6.00,51.00,0.00,0.00,0.09,95.00,23.00,23.00,0.19,0.00,68.80,79.80,57.80,340.00,340.00,21.00,29.00
2022,8,7.20,330.00,159.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,4.00,53.00,0.00,0.00,0.03,91.00,27.00,4.00,0.05,0.00,70.00,80.90,59.10,350.00,350.00,18.10,27.00
2022,9,7.40,364.00,34.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,24.00,1.00,49.00,0.00,0.00,0.15,92.00,66.00,39.00,0.25,0.00,64.80,74.60,55.10,10.00,30.00,25.10,33.00
2022,10,6.50,375.00,11.00,8.00,7.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,41.00,0.00,0.00,0.64,88.00,305.00,239.00,2.51,0.00,57.60,66.20,49.10,200.00,210.00,23.90,37.00
2022,11,8.10,375.00,0.00,12.00,10.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,29.00,0.00,0.90,1.20,57.00,974.00,668.00,4.83,1.10,42.00,48.10,35.80,220.00,210.00,32.00,51.00
2022,12,8.70,375.00,0.00,24.00,16.00,4.00,1.00,0.00,13.00,2.00,0.00,0.00,18.00,2.00,2.60,1.52,57.00,1785.00,811.00,7.55,4.70,38.80,43.20,34.40,220.00,220.00,36.90,55.00
